Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org
OpenGL API 3.3.0 NVIDIA 591.74 - Compatibility - Using Device: NVIDIA - NVIDIA GeForce GTX 1660 Ti

HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":40,"main_thread":true,"monotonic_us":58292012,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":42,"main_thread":true,"monotonic_us":58795964,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":44,"main_thread":true,"monotonic_us":59296586,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":46,"main_thread":true,"monotonic_us":59856045,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":48,"main_thread":true,"monotonic_us":60379032,"phase":"UNDO","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":49,"main_thread":true,"monotonic_us":60895299,"phase":"CYCLE_SETTLE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":51,"main_thread":true,"monotonic_us":61396808,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":53,"main_thread":true,"monotonic_us":61912337,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":55,"main_thread":true,"monotonic_us":62413749,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":57,"main_thread":true,"monotonic_us":62915199,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":59,"main_thread":true,"monotonic_us":63441026,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":61,"main_thread":true,"monotonic_us":63952119,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":63,"main_thread":true,"monotonic_us":64457427,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":65,"main_thread":true,"monotonic_us":64984000,"phase":"SAVE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":67,"main_thread":true,"monotonic_us":65536028,"phase":"UNDO","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":69,"main_thread":true,"monotonic_us":66038011,"phase":"CREATE","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
HH_GT06_BENCHMARK_HEARTBEAT {"batch":0,"cycle":70,"main_thread":true,"monotonic_us":66553274,"phase":"SAVE_WAIT","pid":5900,"run_id":"gt06-s80-campaign-01.r00.a01"}
